starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	7
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	8
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	6
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	8
Tue Nov 22 14:47:33 2016	1479822453	1	10	10	8
Tue Nov 22 14:47:25 2016	1479822445	0	10	10	9
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	8
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	9
Tue Nov 22 14:47:30 2016	1479822450	1	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	8
Tue Nov 22 14:47:26 2016	1479822446	1	10	10	7
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	8
Tue Nov 22 14:47:30 2016	1479822450	1	10	10	8
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	8
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	7
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	9
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	7
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	9
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	10
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	7
Tue Nov 22 14:47:34 2016	1479822454	1	10	10	10
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	9
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	6
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	10
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	9
Tue Nov 22 14:47:27 2016	1479822447	0	10	10	7
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	10
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	10
Tue Nov 22 14:47:27 2016	1479822447	1	10	10	7
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	9
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	9
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	1	9	10	5
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	7
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	7
Tue Nov 22 14:47:27 2016	1479822447	1	10	10	10
Tue Nov 22 14:47:30 2016	1479822450	1	9	10	7
Tue Nov 22 14:47:28 2016	1479822448	1	10	10	8
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	7
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	8
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	9
Tue Nov 22 14:47:33 2016	1479822453	1	9	10	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	10
Tue Nov 22 14:47:34 2016	1479822454	1	10	10	9
Tue Nov 22 14:47:32 2016	1479822452	1	10	10	7
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	7
Tue Nov 22 14:47:27 2016	1479822447	1	10	10	9
Tue Nov 22 14:47:31 2016	1479822451	1	10	10	8
Tue Nov 22 14:47:27 2016	1479822447	1	10	10	9
Tue Nov 22 14:47:28 2016	1479822448	1	9	10	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	9
Tue Nov 22 14:47:31 2016	1479822451	1	10	10	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	8
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	7
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	9
Tue Nov 22 14:47:27 2016	1479822447	0	10	10	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	6
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	7
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	9
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	7
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	10
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	7
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	6
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	7
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	7
Tue Nov 22 14:47:34 2016	1479822454	1	9	10	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	10
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	10
Tue Nov 22 14:47:27 2016	1479822447	1	10	10	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	9
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	7
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	10
Tue Nov 22 14:47:32 2016	1479822452	1	9	10	9
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	7
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	10
Tue Nov 22 14:47:29 2016	1479822449	1	9	10	9
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	9
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	9
Tue Nov 22 14:47:24 2016	1479822444	1	10	10	7
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	8
Tue Nov 22 14:47:32 2016	1479822452	1	10	10	9
Tue Nov 22 14:47:26 2016	1479822446	1	10	10	7
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	7
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	10
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	8
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	8
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	8
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	9
Tue Nov 22 14:47:34 2016	1479822454	0	10	10	10
Tue Nov 22 14:47:27 2016	1479822447	0	10	10	8
Tue Nov 22 14:47:33 2016	1479822453	1	9	10	8
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	1	10	10	6
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	10
Tue Nov 22 14:47:31 2016	1479822451	1	9	10	8
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	7
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	10
Tue Nov 22 14:47:30 2016	1479822450	1	10	10	9
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	8
Tue Nov 22 14:47:30 2016	1479822450	1	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	1	10	10	6
Tue Nov 22 14:47:28 2016	1479822448	1	9	10	6
Tue Nov 22 14:47:29 2016	1479822449	1	9	10	8
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	10
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	9
Tue Nov 22 14:47:27 2016	1479822447	0	10	10	10
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	8
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	10
Tue Nov 22 14:47:25 2016	1479822445	0	10	10	7
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	7
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	10
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	8
Tue Nov 22 14:47:28 2016	1479822448	1	9	10	6
Tue Nov 22 14:47:27 2016	1479822447	0	10	10	8
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	10
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	7
Tue Nov 22 14:47:25 2016	1479822445	1	10	10	9
Tue Nov 22 14:47:25 2016	1479822445	0	10	10	8
Tue Nov 22 14:47:25 2016	1479822445	0	10	10	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	7
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	8
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	9
Tue Nov 22 14:47:25 2016	1479822445	0	10	10	10
Tue Nov 22 14:47:26 2016	1479822446	1	9	10	7
Tue Nov 22 14:47:26 2016	1479822446	1	10	10	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	10
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	7
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	9
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	9
Tue Nov 22 14:47:24 2016	1479822444	1	10	10	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	10
Tue Nov 22 14:47:26 2016	1479822446	1	9	10	8
Tue Nov 22 14:47:28 2016	1479822448	1	10	10	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	9
Tue Nov 22 14:47:25 2016	1479822445	0	10	10	8
Tue Nov 22 14:47:27 2016	1479822447	0	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	7
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	7
Tue Nov 22 14:47:24 2016	1479822444	1	10	10	10
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	9
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	6
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	10	9
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	7
Tue Nov 22 14:47:33 2016	1479822453	1	10	10	7
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	7
Tue Nov 22 14:47:24 2016	1479822444	1	9	10	9
Tue Nov 22 14:47:25 2016	1479822445	0	10	10	8
Tue Nov 22 14:47:32 2016	1479822452	1	10	10	10
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	9
Tue Nov 22 14:47:32 2016	1479822452	1	10	10	7
Tue Nov 22 14:47:32 2016	1479822452	1	10	10	10
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	10
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	10
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	6
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	10
Tue Nov 22 14:47:29 2016	1479822449	1	10	10	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	10	10
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	9
Tue Nov 22 14:47:30 2016	1479822450	1	10	10	10
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	8
Tue Nov 22 14:47:31 2016	1479822451	0	10	10	9
Tue Nov 22 14:47:27 2016	1479822447	0	10	10	9
Tue Nov 22 14:47:27 2016	1479822447	0	10	10	10
Tue Nov 22 14:47:30 2016	1479822450	1	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	10	9
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	10
Tue Nov 22 14:47:33 2016	1479822453	0	10	10	10
Tue Nov 22 14:47:32 2016	1479822452	0	10	10	10
Tue Nov 22 14:47:33 2016	1479822453	1	10	10	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	10	10
Tue Nov 22 14:47:30 2016	1479822450	1	10	10	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	10	7
Tue Nov 22 14:47:30 2016	1479822450	1	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	1	10	10	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	6
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	7
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	6
Tue Nov 22 14:47:24 2016	1479822444	1	10	11	7
Tue Nov 22 14:47:27 2016	1479822447	1	10	11	9
Tue Nov 22 14:47:33 2016	1479822453	1	10	11	6
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	8
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	8
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	7
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	10
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	10
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	8
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	9
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	9
Tue Nov 22 14:47:29 2016	1479822449	1	10	11	9
Tue Nov 22 14:47:26 2016	1479822446	1	10	11	7
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	7
Tue Nov 22 14:47:24 2016	1479822444	1	10	11	9
Tue Nov 22 14:47:26 2016	1479822446	1	10	11	10
Tue Nov 22 14:47:29 2016	1479822449	1	9	11	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	9
Tue Nov 22 14:47:32 2016	1479822452	1	10	11	7
Tue Nov 22 14:47:27 2016	1479822447	1	9	11	8
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	8
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	10
Tue Nov 22 14:47:27 2016	1479822447	1	10	11	8
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	10
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	7
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	10
Tue Nov 22 14:47:29 2016	1479822449	1	10	11	6
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	8
Tue Nov 22 14:47:28 2016	1479822448	1	10	11	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	10
Tue Nov 22 14:47:31 2016	1479822451	1	10	11	8
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	7
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	9
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	10
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	9
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	10
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	10
Tue Nov 22 14:47:31 2016	1479822451	1	9	11	6
Tue Nov 22 14:47:33 2016	1479822453	1	10	11	7
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	7
Tue Nov 22 14:47:29 2016	1479822449	1	10	11	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	8
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	9
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	7
Tue Nov 22 14:47:26 2016	1479822446	1	10	11	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	8
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	9
Tue Nov 22 14:47:25 2016	1479822445	0	10	11	7
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	7
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	7
Tue Nov 22 14:47:24 2016	1479822444	1	10	11	7
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	7
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	9
Tue Nov 22 14:47:25 2016	1479822445	0	10	11	9
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	10
Tue Nov 22 14:47:34 2016	1479822454	0	10	11	9
Tue Nov 22 14:47:31 2016	1479822451	1	10	11	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	8
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	10
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	10
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	7
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	8
Tue Nov 22 14:47:31 2016	1479822451	1	9	11	9
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	8
Tue Nov 22 14:47:34 2016	1479822454	0	10	11	10
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	10
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	6
Tue Nov 22 14:47:24 2016	1479822444	1	10	11	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	9
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	10
Tue Nov 22 14:47:24 2016	1479822444	1	10	11	7
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	10
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	10
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	9
Tue Nov 22 14:47:34 2016	1479822454	1	10	11	7
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	10
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	10
Tue Nov 22 14:47:34 2016	1479822454	0	10	11	9
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	10
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	10
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	9
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	10
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	10
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	8
Tue Nov 22 14:47:30 2016	1479822450	1	10	11	8
Tue Nov 22 14:47:31 2016	1479822451	1	9	11	9
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	8
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	8
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	7
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	6
Tue Nov 22 14:47:32 2016	1479822452	1	9	11	9
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	10
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	10
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	6
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	9
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	9
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	8
Tue Nov 22 14:47:28 2016	1479822448	1	10	11	9
Tue Nov 22 14:47:26 2016	1479822446	1	10	11	7
Tue Nov 22 14:47:29 2016	1479822449	1	10	11	9
Tue Nov 22 14:47:27 2016	1479822447	1	10	11	10
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	9
Tue Nov 22 14:47:27 2016	1479822447	0	10	11	10
Tue Nov 22 14:47:24 2016	1479822444	1	10	11	7
Tue Nov 22 14:47:33 2016	1479822453	0	10	11	6
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	8
Tue Nov 22 14:47:29 2016	1479822449	0	10	11	6
Tue Nov 22 14:47:27 2016	1479822447	0	11	11	7
Tue Nov 22 14:47:26 2016	1479822446	0	10	11	8
Tue Nov 22 14:47:30 2016	1479822450	0	10	11	10
Tue Nov 22 14:47:26 2016	1479822446	1	10	11	10
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	8
Tue Nov 22 14:47:34 2016	1479822454	0	10	11	7
Tue Nov 22 14:47:25 2016	1479822445	0	10	11	6
Tue Nov 22 14:47:28 2016	1479822448	1	10	11	6
Tue Nov 22 14:47:30 2016	1479822450	1	10	11	7
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	10
Tue Nov 22 14:47:31 2016	1479822451	1	10	11	7
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	8
Tue Nov 22 14:47:32 2016	1479822452	0	11	11	10
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	8
Tue Nov 22 14:47:30 2016	1479822450	1	10	11	10
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	9
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	10
Tue Nov 22 14:47:32 2016	1479822452	0	11	11	8
Tue Nov 22 14:47:31 2016	1479822451	0	10	11	9
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	8
Tue Nov 22 14:47:26 2016	1479822446	1	10	11	7
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	10
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	9
Tue Nov 22 14:47:29 2016	1479822449	1	10	11	9
Tue Nov 22 14:47:32 2016	1479822452	0	10	11	10
Tue Nov 22 14:47:26 2016	1479822446	1	10	11	10
Tue Nov 22 14:47:24 2016	1479822444	0	10	11	9
Tue Nov 22 14:47:33 2016	1479822453	1	10	11	7
Tue Nov 22 14:47:28 2016	1479822448	0	10	11	7
